DR Number,Date Reported,Date Occurred,Time Occurred,Time Occurred,Area ID,Area Name,Reporting District,Crime Code,Crime Code Description,MO Codes,Victim Age,Victim Sex,Victim Descent,Premise Code,Premise Description,Address,Cross Street,Location,Latitude,Longitude,Zip Codes,Date,Weekday,Month,Year
180117361,6/29/2018,6/28/2018,1555,15:55,1,Central,162,997,TRAFFIC COLLISION,3101 3401 3701 3003 3025 1501,38,Male,White,101,STREET,8TH,FLOWER,"{'latitude': '34.0473', 'longitude': '-118.2601', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0473,-118.2601,23078,28-Jun-18,Thursday,June,2018
190313341,5/21/2019,5/21/2019,0750,7:50,3,Southwest,397,997,TRAFFIC COLLISION,4003 3036 3004 3026 3101,36,Female,Hispanic,101,STREET,MARTIN LUTHER KING JR        BL,KANSAS                       AV,"{'latitude': '34.0109', 'longitude': '-118.2933', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0109,-118.2933,23668,21-May-19,Tuesday,May,2019
180321723,9/23/2018,9/23/2018,1650,16:50,3,Southwest,397,997,TRAFFIC COLLISION,4003 3026 3029 3036 3003,unknown,Female,Black,101,STREET,FIGUEROA                     ST,41ST                         ST,"{'latitude': '34.0073', 'longitude': '-118.298', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0073,-118.298,23668,23-Sep-18,Sunday,September,2018
180408876,4/23/2018,4/23/2018,1200,12:00,4,Hollenbeck,459,997,TRAFFIC COLLISION,3101 3401 3701 3011 3030,unknown,Male,White,101,STREET,ALHAMBRA                     AV,WARWICK                      AV,"{'latitude': '34.045', 'longitude': '-118.1956', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.045,-118.1956,24028,23-Apr-18,Monday,April,2018
181207661,2/19/2018,2/19/2018,1400,14:00,12,Street 77th,1257,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3104,62,Female,Black,108,PARKING LOT,78TH                         ST,FIGUEROA                     ST,"{'latitude': '33.9689', 'longitude': '-118.2827', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9689,-118.2827,23675,19-Feb-18,Monday,February,2018
191010933,6/8/2019,6/8/2019,1110,11:10,10,West Valley,1034,997,TRAFFIC COLLISION,3004 3028 3037 3032 3102 3401 3701 4010,51,Male,Black,101,STREET,ETIWANDA                     AV,SATICOY                      ST,"{'latitude': '34.1835', 'longitude': '-118.5254', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1835,-118.5254,4286,8-Jun-19,Saturday,June,2019
190900572,3/19/2019,3/19/2019,0400,4:00,9,Van Nuys,923,997,TRAFFIC COLLISION,4009 3006 3028 3030 3037 3101 3401 3701,unknown,Male,Hispanic,101,STREET,VANOWEN                      ST,VESPER                       AV,"{'latitude': '34.1939', 'longitude': '-118.4509', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1939,-118.4509,19733,19-Mar-19,Tuesday,March,2019
181314839,7/3/2018,7/3/2018,0730,7:30,13,Newton,1394,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3602,unknown,Male,Hispanic,101,STREET,SAN PEDRO                    ST,68TH                         ST,"{'latitude': '33.9779', 'longitude': '-118.2695', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9779,-118.2695,22352,3-Jul-18,Tuesday,July,2018
190607381,3/1/2019,3/1/2018,1400,14:00,6,Hollywood,643,997,TRAFFIC COLLISION,3006 3028 3030 3035 3037 3101 3401 3701 4027,58,Male,Other,101,STREET,FULLER                       AV,HAWTHORNE                    AV,"{'latitude': '34.1007', 'longitude': '-118.3494', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1007,-118.3494,23677,1-Mar-18,Thursday,March,2018
180306657,2/10/2018,2/10/2018,0500,5:00,3,Southwest,315,997,TRAFFIC COLLISION,4025 3037 3004 3101 3028,42,Female,Hispanic,101,STREET,ADAMS                        BL,2ND                          AV,"{'latitude': '34.034', 'longitude': '-118.3133', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.034,-118.3133,23079,10-Feb-18,Saturday,February,2018
181225003,10/17/2018,10/17/2018,0700,7:00,12,Street 77th,1205,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3101,35,Female,Black,101,STREET,DENKER                       AV,51ST                         ST,"{'latitude': '33.9969', 'longitude': '-118.3046', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9969,-118.3046,24027,17-Oct-18,Wednesday,October,2018
190212118,5/28/2019,5/28/2019,0800,8:00,2,Rampart,235,997,TRAFFIC COLLISION,3101 3401 3701 3006 3030 3032,30,Male,Hispanic,101,STREET,ALVARADO                     ST,BEVERLY                      BL,"{'latitude': '34.0667', 'longitude': '-118.2703', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0667,-118.2703,23444,28-May-19,Tuesday,May,2019
181112808,7/1/2018,6/30/2018,1840,18:40,11,Northeast,1117,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026,30,Male,Hispanic,101,STREET,EAGLE ROCK                   BL,NORWALK                      AV,"{'latitude': '34.1324', 'longitude': '-118.2161', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1324,-118.2161,23672,30-Jun-18,Saturday,June,2018
191408543,3/14/2019,3/14/2019,1650,16:50,14,Pacific,1431,997,TRAFFIC COLLISION,3008 3025 3035 3036 3101 3401 3701 4014,54,Male,White,101,STREET,VENICE                       BL,RIVIERA,"{'latitude': '33.9874', 'longitude': '-118.4685', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9874,-118.4685,25073,14-Mar-19,Thursday,March,2019
190810850,6/5/2019,6/5/2019,2130,21:30,8,West LA,855,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4008,25,Male,White,101,STREET,SANTA MONICA                 BL,SEPULVEDA,"{'latitude': '34.0477', 'longitude': '-118.4443', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0477,-118.4443,23443,5-Jun-19,Wednesday,June,2019
181914375,7/18/2018,7/17/2018,2010,20:10,19,Mission,1982,997,TRAFFIC COLLISION,3006 3037 3030 3028 3101 3401 3701 4026,57,Female,Hispanic,101,STREET,PARTHENIA                    ST,KESTER                       AV,"{'latitude': '34.2301', 'longitude': '-118.4633', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2301,-118.4633,18914,17-Jul-18,Tuesday,July,2018
191609699,6/1/2019,6/1/2019,1230,12:30,16,Foothill,1645,997,TRAFFIC COLLISION,3011 3037 3034 3028 3101 3401 3701 4026,99,Male,Other,101,STREET,PIERCE                       ST,NORRIS                       AV,"{'latitude': '34.2674', 'longitude': '-118.413', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2674,-118.413,18907,1-Jun-19,Saturday,June,2019
191211486,4/14/2019,4/14/2019,2015,20:15,12,Street 77th,1273,997,TRAFFIC COLLISION,605,31,Female,Black,101,STREET,90TH                         PL,NORMANDIE                    AV,"{'latitude': '33.9551', 'longitude': '-118.3003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9551,-118.3003,23678,14-Apr-19,Sunday,April,2019
181206030,1/27/2018,1/27/2018,0015,00:15,12,Street 77th,1245,997,TRAFFIC COLLISION,0605 3101 4012 3036 3003 3029 3027 1218 3601,56,Male,White,101,STREET,VERMONT                      AV,FLORENCE                     AV,"{'latitude': '33.9746', 'longitude': '-118.2918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9746,-118.2918,23675,27-Jan-18,Saturday,January,2018
181705220,1/26/2018,1/26/2018,1440,14:40,17,Devonshire,1752,997,TRAFFIC COLLISION,3004 3037 3034 3028 3102 3401 3701 4026,47,Male,Hispanic,101,STREET,LASSEN                       ST,DE SOTO                      AV,"{'latitude': '34.25', 'longitude': '-118.5886', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.25,-118.5886,4284,26-Jan-18,Friday,January,2018
181914878,7/26/2018,7/26/2018,2038,20:38,19,Mission,1967,997,TRAFFIC COLLISION,3004 3036 3028 3030 3101 3401 3701 4019,28,Male,Hispanic,101,STREET,TERRA BELLA                  ST,DORRINGTON                   AV,"{'latitude': '34.2399', 'longitude': '-118.4435', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2399,-118.4435,18907,26-Jul-18,Thursday,July,2018
191211861,4/20/2019,4/20/2019,1145,11:45,12,Street 77th,1218,997,TRAFFIC COLLISION,0605 3037 3004 3026 3101,61,Female,Hispanic,101,STREET,SLAUSON                      AV,VERMONT                      AV,"{'latitude': '33.9892', 'longitude': '-118.2915', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9892,-118.2915,23668,20-Apr-19,Saturday,April,2019
181215979,6/12/2018,6/12/2018,2230,22:30,12,Street 77th,1245,997,TRAFFIC COLLISION,0605 4012 3037 3003 3026 3101,unknown,Female,Hispanic,101,STREET,VERMONT                      AV,FLORENCE                     AV,"{'latitude': '33.9746', 'longitude': '-118.2918', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9746,-118.2918,23675,12-Jun-18,Tuesday,June,2018
181606264,2/27/2018,2/27/2018,0943,9:43,16,Foothill,1637,997,TRAFFIC COLLISION,3006 3028 3030 3037 3101 3401 3701 4016,58,Male,Other,101,STREET,MCVINE                       AV,FOOTHILL                     BL,"{'latitude': '34.2597', 'longitude': '-118.3114', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2597,-118.3114,3221,27-Feb-18,Tuesday,February,2018
182011428,5/18/2018,5/18/2018,0745,7:45,20,Olympic,2004,997,TRAFFIC COLLISION,3034 3004 3028 3036 3101 3401 3701 4020,24,Female,Black,101,STREET,MELROSE                      BL,HOBART                       BL,"{'latitude': '34.0836', 'longitude': '-118.3051', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0836,-118.3051,23447,18-May-18,Friday,May,2018
181617758,12/18/2018,12/16/2018,1820,18:20,16,Foothill,1669,997,TRAFFIC COLLISION,3034 3004 3037 3028 3101 3401 3701 4016 0605,26,Male,Black,101,STREET,FOOTHILL                     BL,TUJUNGA CANYON               PL,"{'latitude': '34.2449', 'longitude': '-118.2733', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2449,-118.2733,3222,16-Dec-18,Sunday,December,2018
181219244,7/26/2018,7/19/2018,1815,18:15,12,Street 77th,1211,997,TRAFFIC COLLISION,1501 4012 3036 3025 3026 3101,66,Female,Black,101,STREET,54TH                         ST,6TH                          AV,"{'latitude': '33.9932', 'longitude': '-118.3236', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9932,-118.3236,23674,19-Jul-18,Thursday,July,2018
180312201,5/5/2018,5/4/2018,2145,21:45,3,Southwest,363,997,TRAFFIC COLLISION,4025 3037 3034 3025 3101,49,Female,Other,101,STREET,MARTIN LUTHER KING JR        BL,MARLTON                      AV,"{'latitude': '34.0124', 'longitude': '-118.3378', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0124,-118.3378,22725,4-May-18,Friday,May,2018
191411704,5/5/2019,5/5/2019,1620,16:20,14,Pacific,1413,997,TRAFFIC COLLISION,0947 3004 3025 3035 3037 3101 3401 3701 4014,48,Female,Asian,101,STREET,ROSE                         AV,W  5TH                          AV,"{'latitude': '33.9981', 'longitude': '-118.4741', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9981,-118.4741,25073,5-May-19,Sunday,May,2019
180512939,7/7/2018,7/5/2018,2100,21:00,5,Harbor,585,997,TRAFFIC COLLISION,4025 3037 3006 3028 3030 3102,32,Male,Hispanic,108,PARKING LOT,GAFFEY                       ST,2ND                          ST,"{'latitude': '33.7243', 'longitude': '-118.2963', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.7243,-118.2963,3342,5-Jul-18,Thursday,July,2018
182119175,11/13/2018,11/13/2018,1020,10:20,21,Topanga,2125,997,TRAFFIC COLLISION,3006 3037 3029 3026 3101 3401 3701 4026,unknown,Male,Hispanic,101,STREET,SATICOY                      ST,ALABAMA                      AV,"{'latitude': '34.2083', 'longitude': '-118.5991', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2083,-118.5991,4279,13-Nov-18,Tuesday,November,2018
182109627,4/25/2018,4/25/2018,1920,19:20,21,Topanga,2187,997,TRAFFIC COLLISION,3026 3004 3037 3602 3101 3401 3701 4021,41,Female,White,101,STREET,VENTURA                      BL,LUBAO                        ST,"{'latitude': '34.1635', 'longitude': '-118.5977', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.1635,-118.5977,19346,25-Apr-18,Wednesday,April,2018
181218527,7/17/2018,7/17/2018,1320,13:20,12,Street 77th,1235,997,TRAFFIC COLLISION,4025 3037 3004 3025 3101,51,Female,Black,101,STREET,SLAUSON                      AV,NORMANDIE                    AV,"{'latitude': '33.9892', 'longitude': '-118.3002', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9892,-118.3002,23668,17-Jul-18,Tuesday,July,2018
191711369,6/12/2019,6/12/2019,2115,21:15,17,Devonshire,1723,997,TRAFFIC COLLISION,1501,22,Female,Other,101,STREET,MASON,SAN JOSE,"{'latitude': '34.2609', 'longitude': '-118.5798', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2609,-118.5798,4284,12-Jun-19,Wednesday,June,2019
181706328,2/19/2018,2/14/2018,0630,6:30,17,Devonshire,1797,997,TRAFFIC COLLISION,3004 3036 3029 3025 3101 3401 3701 4026,28,Male,White,101,STREET,PARTHENIA                    ST,WOODLEY                      AV,"{'latitude': '34.2284', 'longitude': '-118.4851', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2284,-118.4851,18914,14-Feb-18,Wednesday,February,2018
191908640,4/4/2019,4/4/2019,0600,6:00,19,Mission,1977,997,TRAFFIC COLLISION,3004 3034 3026 3101 3401 3701 4019 3037,67,Male,Hispanic,101,STREET,OSBORNE                      ST,CANTERBURY                   AV,"{'latitude': '34.2359', 'longitude': '-118.4346', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.2359,-118.4346,18907,4-Apr-19,Thursday,April,2019
191212854,5/4/2019,5/4/2019,0740,7:40,12,Street 77th,1245,997,TRAFFIC COLLISION,4025 3037 3006 3026 3101,30,Female,Hispanic,101,STREET,RAYMOND                      AV,60TH                         ST,"{'latitude': '33.9789', 'longitude': '-118.2981', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9789,-118.2981,23675,4-May-19,Saturday,May,2019
191106386,2/18/2019,2/18/2019,1600,16:00,11,Northeast,1177,997,TRAFFIC COLLISION,3101 3401 3701 3004 3025 3036 3602,20,Male,Hispanic,101,STREET,FIGUEROA,AVENUE 26,"{'latitude': '34.0848', 'longitude': '-118.2212', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0848,-118.2212,24030,18-Feb-19,Monday,February,2019
191814514,6/19/2019,6/18/2019,1645,16:45,18,Southeast,1844,997,TRAFFIC COLLISION,1501,unknown,Male,Other,101,STREET,CENTRAL                      AV,IMPERIAL                     HY,"{'latitude': '33.9345', 'longitude': '-118.2623', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9345,-118.2623,24354,18-Jun-19,Tuesday,June,2019
182009123,4/5/2018,4/5/2018,1740,17:40,20,Olympic,2062,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4020,54,Male,Black,101,STREET,ARLINGTON                    AV,S  PICO,"{'latitude': '34.0472', 'longitude': '-118.3176', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0472,-118.3176,23080,5-Apr-18,Thursday,April,2018
191211490,4/15/2019,4/15/2019,0104,1:04,12,Street 77th,1255,997,TRAFFIC COLLISION,605,64,Male,Hispanic,101,STREET,FLORENCE                     AV,NORMANDIE                    AV,"{'latitude': '33.9746', 'longitude': '-118.3003', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",33.9746,-118.3003,23675,15-Apr-19,Monday,April,2019
180722016,12/30/2018,12/27/2018,1555,15:55,7,Wilshire,721,997,TRAFFIC COLLISION,3004 3028 3030 3035 3037 3101 3401 3701 4008,49,Female,White,101,STREET,3RD                          ST,WILLAMAN,"{'latitude': '34.0736', 'longitude': '-118.3806', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0736,-118.3806,23679,27-Dec-18,Thursday,December,2018
191709442,4/28/2019,4/28/2019,2040,20:40,17,Devonshire,1752,997,TRAFFIC COLLISION,3036 3101 3003 3026 3401 3701 4017,17,Male,Hispanic,101,STREET,CANOGA                       AV,LASSEN                       ST,"{'latitude': '34.25', 'longitude': '-118.5973', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.25,-118.5973,4284,28-Apr-19,Sunday,April,2019
181304805,1/16/2018,1/16/2018,0915,9:15,13,Newton,1361,997,TRAFFIC COLLISION,3101 3401 3701 3004 3026 3034,30,Male,Hispanic,101,STREET,VERNON                       AV,BROADWAY,"{'latitude': '34.0038', 'longitude': '-118.2783', 'human_address': '{""address"": """", ""city"": """", ""state"": """", ""zip"": """"}'}",34.0038,-118.2783,23668,16-Jan-18,Tuesday,January,2018
